Candidate List of SVHC for authorisation
Note: Group entries are split in different rows.
Export date: 11-mrt-2026 17:20:40


"Substance Identifier"	""	
"Reden voor opname "	""	
"Datum van opname  (from)"	""	
"Datum van opname  (to)"	""	



"Naam van de stof "	"Description"	"EG-nr. "	"CAS-nr. "	"Reden voor opname "	"Datum van opname "	"Besluit "	"IUCLID-gegevensset "	"Ondersteunend document "	"Reactie op commentaren "	"Opmerkingen "	
"Reaction mass of 4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]diphenol and benzyltriphenylphosphonium, salt with 4,4'-[2,2,2-trifluoro-1-(trifluoromethyl)ethylidene]diphenol (1:1)"	""	"-"	"-"	"Toxic for reproduction (Article 57c)"	"04-feb-2026"	"https://echa.europa.eu/documents/10162/71f21fe4-c687-cf7d-42d9-fcf0b7b384eb"	""	"https://echa.europa.eu/documents/10162/e04eb45f-b900-941d-6db0-b1b195eca48f"	"https://echa.europa.eu/documents/10162/64c4fd72-5c3f-caf1-a92c-33f0949e97dd"	""	
"1,1'-(ethane-1,2-diyl)bis[pentabromobenzene] (DBDPE)"	""	"284-366-9"	"84852-53-9"	"vPvB (Article 57e)"	"05-nov-2025"	"https://echa.europa.eu/documents/10162/9f352981-26b8-8bf6-72e2-932a47850a9d"	""	"https://echa.europa.eu/documents/10162/75729030-8bba-a59d-7ec9-906009190aa8""https://echa.europa.eu/documents/10162/fda5eadf-8499-26f2-b4b8-181a27f1511e""https://echa.europa.eu/documents/10162/118fcbb9-52d9-d504-40d9-781aa930f929"	"https://echa.europa.eu/documents/10162/55f8e9d3-c992-9dd6-9424-973400f81a44"	""	
"tetra(sodium/potassium) 7-[(E)-{2-acetamido-4-[(E)-(4-{[4-chloro-6-({2-[(4-fluoro-6-{[4-(vinylsulfonyl)phenyl]amino}-1,3,5-triazine-2-yl)amino]propyl}amino)-1,3,5-triazine-2-yl]amino}-5-sulfonato-1-naphthyl)diazenyl]-5-methoxyphenyl}diazenyl]-1,3,6-naphthalenetrisulfonate (Reactive Brown 51)"	"substance having a complex composition with <80% of the above constituents and other reaction side products"	"466-490-7"	"-"	"Toxic for reproduction (Article 57c)"	"25-jun-2025"	"https://echa.europa.eu/documents/10162/b5b30988-fcd2-a29e-57c1-535381aa1e47"	""	"https://echa.europa.eu/documents/10162/78400f11-0361-2ae0-1851-04a654158f5a"	"https://echa.europa.eu/documents/10162/e7385b11-47d5-6c73-2073-54d54a44e69f"	""	
"decamethyltetrasiloxane"	""	"205-491-7"	"141-62-8"	"vPvB (Article 57e)"	"25-jun-2025"	"https://echa.europa.eu/documents/10162/956b44c5-c892-b00a-3518-e82fe59b9309"	""	"https://echa.europa.eu/documents/10162/e9f427a1-e41c-d61a-726a-89666f3de869"	"https://echa.europa.eu/documents/10162/aa51d34c-bdfa-ad9c-4568-25a7d14e1e21"	""	
"1,1,1,3,5,5,5-heptamethyl-3-[(trimethylsilyl)oxy]trisiloxane"	""	"241-867-7"	"17928-28-8"	"vPvB (Article 57e)"	"25-jun-2025"	"https://echa.europa.eu/documents/10162/96a9ca97-6130-7853-b7f7-2f72da9c7428"	""	"https://echa.europa.eu/documents/10162/7a912253-5076-6e2f-457b-707f72b74cb8"	"https://echa.europa.eu/documents/10162/c5339392-0837-e090-4833-131259b7e4f2"	""	
"reaction mass of: triphenylthiophosphate and tertiary butylated phenyl derivatives"	""	"421-820-9"	"192268-65-8"	"PBT (Article 57d)"	"21-jan-2025"	"https://echa.europa.eu/documents/10162/7dad1173-ac2e-f860-e1f4-66b1c2155dce"	"https://echa.europa.eu/documents/10162/19d0c561-c440-7d58-1f1a-82f635a56284"	"https://echa.europa.eu/documents/10162/76f7f5c4-e1b0-cfb7-870a-37f9be06da6b"	"https://echa.europa.eu/documents/10162/26ae499e-7ca7-ce7f-454b-7652380d3500"	""	
"Perfluamine"	""	"206-420-2"	"338-83-0"	"vPvB (Article 57e)"	"21-jan-2025"	"https://echa.europa.eu/documents/10162/0aff23c4-f42e-752f-808f-cb297c0895f1"	"https://echa.europa.eu/documents/10162/fdaa58f9-036f-fa45-32a5-ff298257a105"	"https://echa.europa.eu/documents/10162/648286a4-3084-fe50-8ea2-7a0ba0f0019c"	"https://echa.europa.eu/documents/10162/b9748360-658a-8add-40e9-3f27d5d9b3f6"	""	
"Octamethyltrisiloxane"	""	"203-497-4"	"107-51-7"	"vPvB (Article 57e)"	"21-jan-2025"	"https://echa.europa.eu/documents/10162/686168b6-edc1-8e37-4113-637e22730db9"	"https://echa.europa.eu/documents/10162/381a5fab-2de2-6fa7-86dd-9fbfd173a162"	"https://echa.europa.eu/documents/10162/528cc7c8-c20c-8445-761c-f75c1dcdbdc1"	"https://echa.europa.eu/documents/10162/2105ba6b-e4da-84b5-a171-99973f093537"	""	
"O,O,O-triphenyl phosphorothioate"	""	"209-909-9"	"597-82-0"	"PBT (Article 57d)"	"21-jan-2025"	"https://echa.europa.eu/documents/10162/fe683d44-f2a2-cd2c-d2fd-a714cb339f69"	"https://echa.europa.eu/documents/10162/52c84e84-f317-913a-4c58-01406b51abbb"	"https://echa.europa.eu/documents/10162/dcdb37a7-9c5f-435a-68f8-637c3ba941aa"	"https://echa.europa.eu/documents/10162/a6c1c31e-06ff-7611-679a-6cdb078b7bcc"	""	
"6-[(C10-C13)-alkyl-(branched, unsaturated)-2,5-dioxopyrrolidin-1-yl]hexanoic acid"	""	"701-118-1"	"2156592-54-8"	"Toxic for reproduction (Article 57c)"	"21-jan-2025"	"https://echa.europa.eu/documents/10162/1db77454-c1a6-4d42-b904-853060611229"	"https://echa.europa.eu/documents/10162/13385f79-6113-2f54-c5d2-9e867039c6ea"	"https://echa.europa.eu/documents/10162/525810de-10b9-69cb-54d4-cb73dd6aa9fe"	"https://echa.europa.eu/documents/10162/fd5ba6c6-e3cb-d132-46bd-afa234c28fd8"	""	
