label,uri
"1,2-dihalobenzenes",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003664
"1,2-diols",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002467
"1,2-dioxanes",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001312
"1,2-dioxepanes",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002944
"1,2-dioxepines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002940
"1,2-dioxolanes",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001315
"1,2-dioxoles",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000248
"1,2-diselenins",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003692
"1,2-dithiolane-3-carboxylic acids",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003374
"1,2-dithiolane-4-carboxylic acids",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003375
"1,2-dithiolanecarboxylic acids",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003379
"1,2-dithiolanes",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003372
"1,2-dithiole-3-ones",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003623
"1,2-dithiole-3-thiones",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002905
"1,2-dithioles",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003624
"1,2-epoxy-3-oxosteroids",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003247
"1,2-oxazepines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001338
"1,2-oxazinanes",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002576
"1,2-oxazines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001343
"1,2-substituted cyclopentyl nucleosides",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003739
"1,2-substituted cyclopentyl purine nucleosides",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003717
"1,2-substituted cyclopentyl pyrimidine nucleosides",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003719
"1,2-substituted phosphonated cyclopentyl nucleosides",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003742
"1,2-substituted phosphonated cyclopentyl purine nucleosides",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003729
"1,2-substituted phosphonated cyclopentyl pyrimidine nucleosides",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003730
"1,2-thiazines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001348
"1,3,4-oxadiazines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004740
"1,3,4-oxadiazoles",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002925
"1,3,4-thiadiazol-2-ylureas",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004668
"1,3,4-thiadiazol-3-yl-organothiophosphates",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004770
"1,3,5-dithiazinanes",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004199
"1,3,5-oxadiazines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004741
"1,3,5-triazinanes",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002798
"1,3,5-triazine ribonucleosides and ribonucleotides",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004104
"1,3,5-triazine-2,4-diamines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004734
"1,3,5-triazines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0004105
"1,3-aminoalcohols",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001852
"1,3-benzodithiins",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002806
"1,3-diacylglycerol-2-phosphates",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001556
"1,3-diacylglycerols",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001647
"1,3-diazepanes",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002922
"1,3-diazepines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001337
"1,3-dicarbonyl compounds",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000133
"1,3-dihalobenzenes",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003665
"1,3-dioxanes",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001314
"1,3-dioxepanes",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002945
"1,3-dioxepines",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0002941
"1,3-dioxolanes",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0001316
"1,3-dioxoles",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0000272
"1,3-diselenins",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003693
"1,3-dithiolane-2-carboxylic acids",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003376
"1,3-dithiolane-4-carboxylic acids",https://data.omgeving.vlaanderen.be/id/concept/chemical_substance/0003377
