entity_type,n,pct
Molecule,26346,0.6306189860692231
Unclassified,6355,0.15211355258748624
CAS without structure,4854,0.11618555220450955
Analytical parameter,3436,0.08224424338168414
Mixture,685,0.016396189381971373
Substance group,86,0.0020584996888314425
Regulatory entry,16,3.8297668629422185e-4
