cluster,sil_embedding,sil_umap,sil_tsne,umap_vs_embedding,tsne_vs_embedding
1,0.01676798589332982,0.4172690585667221,0.2611924169224902,0.40050107267339224,0.24442443102916037
2,0.1405550311647047,0.612737358882745,0.4466499669446784,0.47218232771804036,0.3060949357799737
3,0.1501214531254437,0.8376297403392158,0.5927449754488087,0.6875082872137721,0.442623522323365
4,0.004421327685213013,0.1923665189584992,0.1276626945300596,0.1879451912732862,0.12324136684484659
5,0.013447775737277557,0.1404288556688169,0.14060855492640592,0.12698107993153934,0.12716077918912835
6,0.09672258359297785,0.45939776384379405,0.21492278747841664,0.3626751802508162,0.1182002038854388
NA,0.06985482885610635,0.42199091261527266,0.275143879533442,0.35213608375916633,0.20528905067733566
