claudemodel_id,hit_at_1,hit_at_3,hit_at_5,hit_at_10,mrr,hit_at_1_sub,hit_at_1_cls,hit_at_1_sup,hit_at_1_kin,n_eval,hit_at_1_lo,hit_at_1_hi,hit_at_3_lo,hit_at_3_hi,hit_at_5_lo,hit_at_5_hi,hit_at_10_lo,hit_at_10_hi,hit_at_1_sub_lo,hit_at_1_sub_hi,hit_at_1_cls_lo,hit_at_1_cls_hi,hit_at_1_sup_lo,hit_at_1_sup_hi,hit_at_1_kin_lo,hit_at_1_kin_hi,mrr_lo,mrr_hi
miniLM,0.05750957311019714,0.09856757906679904,0.12338675365196426,0.1621401219685151,0.09325454923394684,0.03251435726931215,0.00887773449205873,2.2369696517783908e-4,0,28204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mpnet,0.0093407773244578,0.01517428959988547,0.01839524729797437,0.02472979743754921,0.01546695487655111,0.00474738675958188,9.452153200499074e-4,7.526153383005946e-5,7.508071176514753e-5,27942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
scibert,0.00400830291317729,0.00708610693579557,0.01023548779614916,0.01313434972442917,0.00811051252566632,0.00200348432055749,1.8904306400998144e-4,3.0104613532023783e-4,0,27942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biobert,0.00465249445279507,0.0076945100565457,0.00994918044520793,0.01503113592441486,0.00898548494256333,0.00139372822299651,2.2685167681197777e-4,7.526153383005946e-5,7.508071176514753e-5,27942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Claude Sonnet 4.6,0.392,0.412,0.414,0.414,0.4015,0.2757847533632287,0.4074844074844075,0.5228215767634855,0.9648033126293996,500,0.34920767410855075,0.4347923258914493,0.36885719875575995,0.45514280124424,0.3708262226253018,0.45717377737469816,0.3708262226253018,0.45717377737469816,0.2366114651930628,0.31495804153339463,0.364414250123944,0.450554564844871,0.47904032047461953,0.5666028330523515,0.9486507528327074,0.9809558724260917,0.35895756561290254,0.4440424343870975
