source_a,source_b,jaccard
harmonised_list,candidate_list,0.042745334136062615
harmonised_list,clh_process,0.1483075157773953
harmonised_list,dossier_evaluation,0.11156487841098942
harmonised_list,ed_assessment,0.019015997585270148
harmonised_list,eu_positive_list,0.07876543209876544
harmonised_list,harmonised_list,1
harmonised_list,pbt_assessment,0.011841326228537596
harmonised_list,pesticides,0.15786652372018226
harmonised_list,pops_list,0.003676470588235294
harmonised_list,pops_process,6.134969325153375e-4
harmonised_list,reach_registrations,0.13104310550130985
harmonised_list,restriction_list,0.007659313725490196
harmonised_list,restriction_process,0.003372164316370325
harmonised_list,sommatie_stoffen,0.003639672429481347
harmonised_list,substance_evaluation,0.04009296920395119
harmonised_list,svhc_identification,0.043243243243243246
pbt_assessment,authorisation_list,0.025
pbt_assessment,authorisation_process,0.05371900826446281
pbt_assessment,candidate_list,0.08605341246290801
pbt_assessment,clh_process,0.03428571428571429
pbt_assessment,dossier_evaluation,0.04256854256854257
pbt_assessment,ed_assessment,0.0859375
pbt_assessment,eu_positive_list,0.029149797570850202
pbt_assessment,harmonised_list,0.011841326228537596
pbt_assessment,pbt_assessment,1
pbt_assessment,pesticides,0.004934210526315789
pbt_assessment,pops_list,0.011363636363636364
pbt_assessment,pops_process,0.018633540372670808
pbt_assessment,reach_registrations,0.009652632247412205
pbt_assessment,restriction_list,0
pbt_assessment,restriction_process,0.011560693641618497
pbt_assessment,sommatie_stoffen,0.004761904761904762
pbt_assessment,substance_evaluation,0.23273657289002558
pbt_assessment,svhc_identification,0.09302325581395349
pesticides,authorisation_list,9.041591320072332e-4
pesticides,authorisation_process,0.003469210754553339
pesticides,candidate_list,0.006349206349206349
pesticides,clh_process,0.2119382964453387
pesticides,dossier_evaluation,0.022377999460771097
pesticides,ed_assessment,0.022530329289428077
pesticides,eu_positive_list,0.03132415757000474
pesticides,harmonised_list,0.15786652372018226
pesticides,pbt_assessment,0.004934210526315789
pesticides,pesticides,1
pesticides,pops_list,0.01028999064546305
pesticides,pops_process,0.0028222013170272815
pesticides,reach_registrations,0.018551076083661716
pesticides,restriction_list,9.157509157509158e-4
pesticides,restriction_process,9.293680297397769e-4
pesticides,sommatie_stoffen,0.0036068530207394047
pesticides,substance_evaluation,0.01764705882352941
pesticides,svhc_identification,0.0070921985815602835
pops_list,authorisation_list,0.016129032258064516
pops_list,authorisation_process,0.018018018018018018
pops_list,candidate_list,0.009009009009009009
pops_list,clh_process,0
pops_list,dossier_evaluation,0
pops_list,ed_assessment,0
pops_list,eu_positive_list,0
pops_list,harmonised_list,0.003676470588235294
pops_list,pbt_assessment,0.011363636363636364
pops_list,pesticides,0.01028999064546305
pops_list,pops_list,1
pops_list,pops_process,0.15789473684210525
pops_list,reach_registrations,1.269438273563948e-4
pops_list,restriction_list,0
pops_list,restriction_process,0.03125
pops_list,sommatie_stoffen,0
pops_list,substance_evaluation,0
pops_list,svhc_identification,0.008620689655172414
pops_process,authorisation_list,0.020833333333333332
pops_process,authorisation_process,0.01020408163265306
