substance_name,best_match,score
Phenols,Phenols,1.0000000000000002
Borosilicate glass,Naphthalene sulfonates,0.9999999999999999
UC-705,Tannins,0.9999999999999997
diethylene glycol ester with stearic acid,Cresols,0.999999999999999
"alkyl(C8-C18)sulfonic acids, sodium salts",Xylenols,0.9999999999999989
polystyrene (with pentane as expansion agent),Polysaccharides,0.9999999999999988
Alkyl mercury compounds,Alkyl mercury compounds,0.9999999999996609
Other inorganic mercury compounds,Inorganic mercury compounds,0.9668960291582214
"alcohols, C9-C11-branched, ethoxylated propoxylated",Polyethylene glycols,0.9588721470816225
"Alkanes, C14-17, chloro",Terphenyls,0.9490326491793488
Arsenic compounds,Inorganic arsenic compounds,0.9466592562289614
zinc hydroxyphosphite,Xylenes,0.9376536795461597
"Alcohols, C10-12 (even numbered), ethoxylated (1-2.5 EO), sulfated, sodium salts",Xylenes,0.9376536795461597
Chromium VI compounds,Inorganic chromium (VI) compounds,0.9324580657297211
"polyvinyl alcohol, manufactured by saponification of polyvinyl acetate, with a degree of saponification ≥ 20 %",Polyterpenoids,0.9312399946530695
"(2R)-6-(4-chloropyridin-2-yl)-6,6-dimethoxy-2-methylhexanoic acid - N - cyclohexylcyclohexanamine (1:1.5)",Quinolines and derivatives,0.9295856819677071
Mercury compounds,Inorganic mercury compounds,0.9289707394376088
Polychlorinated Biphenyls (PCB),Polychlorinated biphenyls,0.9116612830318039
Reaction product of 3-Chloropropyltrimethoyxsilane and triethyl phosphite,Diaminotoluenes,0.9049868419214995
Nickel and its compounds,Inorganic nickel compounds,0.9039107838557807
Quaternary ammonium compounds,Quaternary ammonium salts,0.9012376183750882
Alkyldimethylbenzyl ammonium chloride,Alkyldimethylbenzylammonium chlorides,0.9006719906915174
"Copper, [29H,31H-phthalocyaninato(2-)-N29,N30,N31,N32]-, chlorosulfonyl derivs., reaction products with 2-[(4-aminophenyl)amino]-5-nitrobenzenesulfonic acid, sodium salts",Carbamate esters,0.8923844878515991
"sodium perborate; sodium peroxoborate; [containing ≥ 0,1 % (w/w) of particles with an aerodynamic diameter of below 50 μm]",Trialkylboranes,0.8848756955412252
Fatty alcohols / Aliphatic alcohols,Fatty alcohols,0.8842129236666358
esters of glycerol with behenic and arachidic acids,Fatty acid esters,0.8815534199625207
Alkyloxyl and aryl mercury compounds,Alkyl mercury compounds,0.8805110446641186
Reaction mass of 127513-04-6 and 127513-07-9 and 127536-68-9,Triazines,0.8749003658868878
"Reaction product of 2-(2-aminoethoxy)ethanol and 2,2',2''-nitrilotriethanol and heptanoic acid and isononanoic acid",Organic sulfonic acids,0.8718654695401122
"4-nonylphenol, branched",Alkyl lead compounds,0.8680208146309376
"salts of 3,3'-dimethoxybenzidine; salts of o-dianisidine",Chloroanilines,0.86669058922852
polybutene,Acrylic acids,0.864802271141034
"Hydrocarbons, C9, aromatics",Aromatic hydrocarbons,0.86105322680568
"reaction product of diphenylmethanediisocyanate, octylamine, oleylamine and cyclohexylamine (1:1.58:0.32:0097)",Toluene diisocyanates,0.8599542089067709
"bis(4-fluorophenyl)-methyl-(1,2,4-triazol-4-ylmethyl)silane hydrochloride",Metal alkyls,0.8567249341745659
polyhalogenated dibenzo-p-dioxins and dibenzofurans,Dibenzo-p-dioxins,0.8504314458756036
calcium carbide,Trialkylboranes,0.8494768486905242
Alkyltrimethylbenzyl ammonium chloride,Alkyldimethylbenzylammonium chlorides,0.8493134665956519
ROSILIAL PLUS,Branched alkanes,0.8480467269577439
Benzyl-C12-14-alkyldimethylammonium chlorides,Alkyldimethylbenzylammonium chlorides,0.8450303054505016
Reaction mass of 2-Methylbutane and Tetramethylsilane,Fatty acid esters,0.844312815016892
"3-aminocrotonic acid, esters with butyleneglycol",Carboxylic acid amides,0.8441986908539247
sulfite liquors (calcium lignosulfonate),Naphthalene sulfonic acids and derivatives,0.843657780957313
