"cluster","label","N","TP","FP","recall","precision","F1"
1,"Reaction masses",1629,190,156,0.116635972989564,0.549132947976879,0.192405063291139
2,"Complex substances (UVCB with structure)",1931,1121,201,0.580528223718281,0.847957639939486,0.689209960036889
3,"Petroleum & coal tar fractions",3198,354,620,0.110694183864916,0.363449691991786,0.169702780441035
4,"Inorganic compounds & metal salts",2562,56,71,0.0218579234972678,0.440944881889764,0.0416511714391967
5,"Trade names, codes & biological materials",1478,165,626,0.111637347767253,0.208596713021492,0.145438519171441
6,"Polymers, fatty acids & surfactants",1701,109,91,0.0640799529688419,0.545,0.114676486059968
