projection,k,trustworthiness,continuity
UMAP,5,0.9520466922759313,0.9702953599189224
UMAP,10,0.948798017351221,0.9624757086747098
UMAP,20,0.942937894509445,0.9525476728758664
UMAP,50,0.9308803774290272,0.9342454054834468
t-SNE,5,0.9836011359333212,0.970799978624821
t-SNE,10,0.9722651985267324,0.9608271871586712
t-SNE,20,0.9584137311247161,0.9496156864622796
t-SNE,50,0.9356848992399611,0.9310703141114653
