n,days
729,2654
730,2661
731,2669
732,2676
733,2683
734,2691
735,2698
736,2705
737,2713
738,2720
739,2727
740,2735
741,2742
742,2750
743,2757
744,2764
745,2772
746,2779
747,2787
748,2794
749,2802
750,2809
751,2817
752,2824
753,2832
754,2839
755,2847
756,2854
757,2862
758,2870
759,2877
760,2885
761,2892
762,2900
763,2908
764,2915
765,2923
766,2930
767,2938
768,2946
769,2953
770,2961
771,2969
772,2977
773,2984
774,2992
775,3000
776,3007
777,3015
778,3023
779,3031
780,3039
781,3046
782,3054
783,3062
784,3070
785,3078
786,3086
787,3093
788,3101
789,3109
790,3117
791,3125
792,3133
793,3141
794,3149
795,3157
796,3165
797,3173
798,3181
799,3189
800,3196
801,3204
802,3213
803,3221
804,3229
805,3237
806,3245
807,3253
808,3261
809,3269
810,3277
811,3285
812,3293
813,3301
814,3309
815,3318
816,3326
817,3334
818,3342
819,3350
820,3358
821,3367
822,3375
823,3383
824,3391
825,3399
826,3408
827,3416
828,3424
829,3433
830,3441
831,3449
832,3457
833,3466
834,3474
835,3482
836,3491
837,3499
838,3508
839,3516
840,3524
841,3533
842,3541
843,3550
844,3558
845,3566
846,3575
847,3583
848,3592
849,3600
850,3609
851,3617
852,3626
853,3634
854,3643
855,3651
856,3660
857,3668
858,3677
859,3686
860,3694
861,3703
862,3711
863,3720
864,3729
865,3737
866,3746
867,3755
868,3763
869,3772
870,3781
871,3789
872,3798
873,3807
874,3816
875,3824
876,3833
877,3842
878,3851
879,3859
880,3868
881,3877
882,3886
883,3895
884,3903
885,3912
886,3921
887,3930
888,3939
889,3948
890,3957
891,3965
892,3974
893,3983
894,3992
895,4001
896,4010
897,4019
898,4028
899,4037
900,4046
901,4055
902,4064
903,4073
904,4082
905,4091
906,4100
907,4109
908,4118
909,4127
910,4136
911,4146
912,4155
913,4164
914,4173
915,4182
916,4191
917,4200
918,4210
919,4219
920,4228
921,4237
922,4246
923,4256
924,4265
925,4274
926,4283
927,4293
928,4302
929,4311
930,4320
931,4330
932,4339
933,4348
934,4358
935,4367
936,4376
937,4386
938,4395
939,4404
940,4414
941,4423
942,4433
943,4442
944,4451
945,4461
946,4470
947,4480
948,4489
949,4499
950,4508
951,4518
952,4527
953,4537
954,4546
955,4556
956,4565
957,4575
958,4585
959,4594
960,4604
961,4613
962,4623
963,4633
964,4642
965,4652
966,4661
967,4671
968,4681
969,4690
970,4700
971,4710
972,4720
973,4729
974,4739
975,4749
976,4758
977,4768
978,4778
979,4788
980,4798
981,4807
982,4817
983,4827
984,4837
985,4847
986,4857
987,4866
988,4876
989,4886
990,4896
991,4906
992,4916
993,4926
994,4936
995,4946
996,4956
997,4966
998,4976
999,4986
1000,4995
1001,5005
1002,5016
1003,5026
1004,5036
1005,5046
1006,5056
1007,5066
1008,5076
1009,5086
1010,5096
1011,5106
1012,5116
1013,5126
1014,5136
1015,5147
1016,5157
1017,5167
1018,5177
1019,5187
1020,5197
1021,5208
1022,5218
1023,5228
1024,5238
1025,5248
1026,5259
1027,5269
1028,5279
1029,5290
1030,5300
1031,5310
1032,5320
1033,5331
1034,5341
1035,5351
1036,5362
1037,5372
1038,5383
1039,5393
1040,5403
1041,5414
1042,5424
1043,5435
