inchikey,n_cas
ADVORQMAWLEPOI-UHFFFAOYSA-N,1
ADZWSOLPGZMUMY-UHFFFAOYSA-M,1
AEAPRBMDESMRIM-UHFFFAOYSA-N,1
AEDVAGWYAKIOIM-UHFFFAOYSA-N,1
AEEGJNJYJCGJFZ-LURJTMIESA-N,1
AEFVYXKODUCZPV-MSCBHBOZSA-N,1
AEHJMNVBLRLZKK-UHFFFAOYSA-N,1
AEIAMRMQKCPGJR-QTNFYWBSSA-N,1
AEIJTFQOBWATKX-UHFFFAOYSA-N,1
AEILLAXRDHDKDY-UHFFFAOYSA-N,1
AEKIUMMMGNCKSL-FQKVVJEISA-N,1
AEKVBBNGWBBYLL-UHFFFAOYSA-N,1
AEMFNILZOJDQLW-QAGGRKNESA-N,1
AEMOLEFTQBMNLQ-DTEWXJGMSA-N,1
AEMRFAOFKBGASW-UHFFFAOYSA-N,1
AEOMELCUDZBIFY-ZETCQYMHSA-N,1
AEQFSUDEHCCHBT-UHFFFAOYSA-M,1
AERBNCYCJBRYDG-KSZLIROESA-N,1
AESKOCVQJWIWFS-UHFFFAOYSA-N,1
AETKQQBRKSELEL-ZHACJKMWSA-N,1
AETSDHMVQHOYPB-UHFFFAOYSA-M,1
AEUORZZHALJMBM-UHFFFAOYSA-N,1
AEWNSBCPMQKSLN-UHFFFAOYSA-N,1
AEXMKKGTQYQZCS-UHFFFAOYSA-N,1
AFABGHUZZDYHJO-UHFFFAOYSA-N,2
AFAJYBYVKUTWJK-UHFFFAOYSA-N,1
AFAXOMKIWYLNSJ-UHFFFAOYSA-N,1
AFBBKYQYNPNMAT-UHFFFAOYSA-N,1
AFBPFSWMIHJQDM-UHFFFAOYSA-N,1
AFBSBOBDKXETKP-UHFFFAOYSA-N,1
AFCAKJKUYFLYFK-UHFFFAOYSA-N,1
AFCCDDWKHLHPDF-UHFFFAOYSA-M,1
AFDRCEOKCOUICI-UHFFFAOYSA-N,1
AFDXODALSZRGIH-QPJJXVBHSA-N,1
AFEBXVJYLNMAJB-UHFFFAOYSA-N,1
AFFLGGQVNFXPEV-UHFFFAOYSA-N,1
AFFPZJFLSDVZBV-UHFFFAOYSA-N,1
AFGBRTKUTJQHIP-ZETCQYMHSA-N,1
AFGPCIMUGMJQPD-UHFFFAOYSA-L,1
AFHJQYHRLPMKHU-OSYMLPPYSA-N,1
AFIIBUOYKYSPKB-UHFFFAOYSA-N,1
AFINGIXRSWIXIG-UHFFFAOYSA-N,1
AFJWMGOTLUUGHF-UHFFFAOYSA-N,1
AFMPMSCZPVNPEM-UHFFFAOYSA-N,1
AFMXLBBHNWRHAI-XSWAMMJBSA-N,1
AFMZGMJNKXOLEM-JXMROGBWSA-N,1
AFNBMGLGYSGFEZ-UHFFFAOYSA-M,1
AFNRRBXCCXDRPS-UHFFFAOYSA-N,1
AFPHTEQTJZKQAQ-UHFFFAOYSA-N,1
AFPIWWDEGJLLCL-UHFFFAOYSA-N,1
AFQJPDPILPEKME-UHFFFAOYSA-N,1
AFRJJFRNGGLMDW-UHFFFAOYSA-N,1
AFTIMVZKGSAWIC-UHFFFAOYSA-O,1
AFVFQIVMOAPDHO-UHFFFAOYSA-N,1
AFYAQDWVUWAENU-UHFFFAOYSA-H,1
AFYCEAFSNDLKSX-UHFFFAOYSA-N,1
AFYZAHZKOFBVLE-UONOGXRCSA-N,1
AFZNXRBERAUYIU-UHFFFAOYSA-M,1
AFZSMODLJJCVPP-UHFFFAOYSA-N,1
AFZZFBZPHUDOLV-UHFFFAOYSA-N,1
AGAPSPQFVSODLG-UHFFFAOYSA-N,1
AGBQKNBQESQNJD-UHFFFAOYSA-N,1
AGEFUZCBLJQXIA-UHFFFAOYSA-N,1
AGEZXYOZHKGVCM-UHFFFAOYSA-N,1
AGGIJOLULBJGTQ-UHFFFAOYSA-N,1
AGGILFWPOHHPKV-UHFFFAOYSA-N,1
AGHQMAQBLOTWPQ-UHFFFAOYSA-H,1
AGKBXKFWMQLFGZ-UHFFFAOYSA-N,1
AGKQHLKOMIVKIV-UHFFFAOYSA-N,1
AGKSTYPVMZODRV-UHFFFAOYSA-N,1
AGMWEOLWLPKJFM-UHFFFAOYSA-N,1
AGMZSYQMSHMXLT-SCSAIBSYSA-N,1
AGMZSYQMSHMXLT-UHFFFAOYSA-N,1
AGNCKMHGYZKMLN-UHFFFAOYSA-N,1
AGNCPLAEUFOQPN-UHFFFAOYSA-N,1
AGNVDJPIUDGPDP-UHFFFAOYSA-N,1
AGPKZVBTJJNPAG-WHFBIAKZSA-N,1
AGQCDNFPYKDZBO-UHFFFAOYSA-L,1
AGQPHHBPENBBIO-UHFFFAOYSA-M,1
AGRLJMLWBXCPHN-UHFFFAOYSA-N,1
AGSHBVNPPGEAMB-UHFFFAOYSA-N,1
AGSJWQHCUMDARW-UHFFFAOYSA-N,1
AGUIVNYEYSCPNI-UHFFFAOYSA-N,1
AGUMVCVDCJQCIQ-UHFFFAOYSA-N,1
AGVJBLHVMNHENQ-UHFFFAOYSA-N,1
AGVKXDPPPSLISR-UHFFFAOYSA-N,1
AGVNLFCRZULMKK-UHFFFAOYSA-N,1
AGWVQASYTKCTCC-UHFFFAOYSA-N,1
AGYUOJIYYGGHKV-UHFFFAOYSA-N,1
AHBGXHAWSHTPOM-UHFFFAOYSA-N,1
AHBGXTDRMVNFER-UHFFFAOYSA-L,1
AHBNSOZREBSAMG-UHFFFAOYSA-N,1
AHCLXVDSJKEGCO-BTJKTKAUSA-N,1
AHCXCFSRGIJIRM-HVQZGMPCSA-N,1
AHDSRXYHVZECER-UHFFFAOYSA-N,1
AHDXDAUDZWEXCN-UHFFFAOYSA-N,1
AHHPZGUFLGCZCF-UHFFFAOYSA-N,1
AHHWIHXENZJRFG-UHFFFAOYSA-N,1
AHIPJALLQVEEQF-UHFFFAOYSA-N,1
AHLBUWIGURZNRZ-UHFFFAOYSA-N,1
AHLIZUWPYRQFHY-UHFFFAOYSA-N,1
AHLPHDHHMVZTML-BYPYZUCNSA-N,1
AHMNLRKVMYAESR-UHFFFAOYSA-N,1
AHRHOJAODFDUBQ-UHFFFAOYSA-N,1
AHSQPFFBBHOZGR-UHFFFAOYSA-N,1
AHSZBZTYLKTYJI-UHFFFAOYSA-N,1
AHTBZXWLAVCGEG-UHFFFAOYSA-R,1
AHTPATJNIAFOLR-UHFFFAOYSA-N,1
AHUXYBVKTIBBJW-UHFFFAOYSA-N,1
AHWALFGBDFAJAI-UHFFFAOYSA-N,1
AHWSBYUPIDJISG-UHFFFAOYSA-N,1
AHYMHWXQRWRBKT-UHFFFAOYSA-N,1
AHYSXUDLJOFNAB-UHFFFAOYSA-N,1
AHZILZSKKSPIKM-UHFFFAOYSA-N,1
AHZMUXQJTGRNHT-UHFFFAOYSA-N,1
AIALTZSQORJYNJ-UHFFFAOYSA-N,1
AIAYSXFWIUNXRC-PHIMTYICSA-N,1
AIBRSVLEQRWAEG-UHFFFAOYSA-N,1
AICVXAYCWMYBPS-UHFFFAOYSA-F,1
AIEQFQFGMBAKSG-UHFFFAOYSA-N,1
AIEULOVGRIAJCY-UHFFFAOYSA-N,1
AIGCMVGMKTZIPN-IOKCYJPOSA-N,1
AIGCMVGMKTZIPN-LXQMEPLDSA-N,1
AIGRXSNSLVJMEA-UHFFFAOYSA-N,1
AIHWIEBDIWCQCA-UHFFFAOYSA-N,1
AIIUJTLQIOPZBE-UHFFFAOYSA-N,1
AIJFPNKGGAPZFJ-UHFFFAOYSA-N,1
AIJULSRZWUXGPQ-UHFFFAOYSA-N,1
AIKKULXCBHRFOS-UHFFFAOYSA-N,1
AILHLQDLZVZNPS-UHFFFAOYSA-N,1
AIMMSOZBPYFASU-UHFFFAOYSA-N,1
AIMXDOGPMWDCDF-UHFFFAOYSA-N,1
AIPVNQQMYPWQSX-UHFFFAOYSA-N,1
AIQMFFCWDAIGNV-UHFFFAOYSA-N,1
AITNMTXHTIIIBB-UHFFFAOYSA-N,1
AIUGTYAOGJJSTN-UHFFFAOYSA-M,1
AIVSTGKLEISXKC-UHFFFAOYSA-N,1
AIXZBGVLNVRQSS-UHFFFAOYSA-N,1
AIYUHDOJVYHVIT-UHFFFAOYSA-M,1
AIYYMMQIMJOTBM-UHFFFAOYSA-L,1
AIZPFZIKHIJCQX-UHFFFAOYSA-N,1
AJDONJVWDSZZQF-UHFFFAOYSA-N,1
AJDUTMFFZHIJEM-UHFFFAOYSA-N,1
AJDYPKBZJGFSDZ-VXLSFFSTSA-N,1
AJEMFZRCUKJSES-UHFFFAOYSA-N,1
AJIPIJNNOJSSQC-NYLIRDPKSA-N,1
AJKOAOUQPNLZTF-UHFFFAOYSA-N,1
AJLFOPYRIVGYMJ-INTXDZFKSA-N,1
AJPJDKMHJJGVTQ-UHFFFAOYSA-M,1
AJPKQSSFYHPYMH-UHFFFAOYSA-N,1
AJQMFUYBFQQAKA-UHFFFAOYSA-N,1
